Blastococcus_saxobsidens_DD2 3
Bordetella_bronchiseptica_253 5
Bordetella_bronchiseptica_RB50 5
Bordetella_petrii 9
Bradyrhizobium_diazoefficiens_USDA_110 11
Bradyrhizobium_japonicum_SEMIA_5079 11
Bradyrhizobium_japonicum_USDA_6 9
Bradyrhizobium_oligotrophicum_S58 4
Bradyrhizobium_sp._ORS_278 2
Bradyrhizobium_sp._S23321 4
Brevibacillus_brevis_NBRC_100599 7
Brucella_abortus_2308 2
Brucella_abortus_BDW 2
Brucella_abortus_bv._1_str._9-941 2
Brucella_abortus_bv._9_str._C68 2
Brucella_abortus_strain_63_75 2
Brucella_canis_ATCC_23365 2
Brucella_melitensis_M5-90 2
Brucella_microti_CCM_4915 3
Brucella_ovis_ATCC_25840 3
Brucella_suis_ATCC_23445 2
Brucella_suis_bv._1_str._S2 1
Burkholderia_ambifaria_AMMD 1
Burkholderia_ambifaria_MC40-6 6
Burkholderia_cenocepacia 254
Burkholderia_cenocepacia_HI2424 175
Burkholderia_cenocepacia_MC0-3 8
Burkholderia_cepacia 437
Burkholderia_cepacia_GG4 5
Burkholderia_glumae_BGR1 25
Burkholderia_lata 3
Burkholderia_multivorans 237
Burkholderia_multivorans_ATCC_17616 12
Burkholderia_phenoliruptrix_BR3459a 3
Burkholderia_phymatum_STM815 10
Burkholderia_phytofirmans_PsJN 5
Burkholderia_pseudomallei_1106a 10
Burkholderia_pseudomallei_1710b 15
Burkholderia_pseudomallei_668 11
Burkholderia_pseudomallei_BPC006 8
Burkholderia_pseudomallei_K96243 11
Burkholderia_rhizoxinica_HKI_454 9
Burkholderia_sp._CCGE1002 165
Burkholderia_sp._KJ006 4
Burkholderia_sp._YI23 33
Burkholderia_thailandensis_E264 15
Burkholderia_thailandensis_MSMB121 7
Burkholderia_thailandensis_USAMRU_Malaysia_#20 12
Burkholderia_vietnamiensis_G4 15
Burkholderia_xenovorans_LB400 10
Campylobacter_coli_15-537360 1
Candidatus_Accumulibacter_phosphatis_clade_II 7
Candidatus_Desulforudis_audaxviator_MP104C 7
Candidatus_Koribacter_versatilis_Ellin345 2
Candidatus_Solibacter_usitatus_Ellin6076 6
Capnocytophaga_canimorsus_Cc5 1
